Word,Form,TimePeriod,SentenceLength
Lehrerinnen,short,2010s,15
Lehrerinnen,short,2010s,27
Lehrerinnen,short,2010s,23
Lehrerinnen,short,2010s,7
Lehrerinnen,short,2010s,31
Lehrerinnen,short,2010s,5
Lehrerinnen,short,2010s,57
Lehrerinnen,short,2010s,35
Lehrerinnen,short,2010s,64
Lehrerinnen,short,2010s,24
Lehrerinnen,short,2010s,28
Lehrerinnen,short,2010s,26
Lehrerinnen,short,2010s,34
Lehrerinnen,short,2010s,27
Lehrerinnen,short,2010s,14
Lehrerinnen,short,2010s,12
Lehrerinnen,short,2010s,13
Lehrerinnen,short,2010s,34
Lehrerinnen,short,2010s,12
Lehrerinnen,short,2010s,33
Lehrerinnen,short,2010s,2
Lehrerinnen,short,2010s,3
Lehrerinnen,short,2010s,16
Lehrerinnen,short,2010s,11
Lehrerinnen,short,2010s,38
Lehrerinnen,short,2010s,19
Lehrerinnen,short,2010s,19
Lehrerinnen,short,2010s,41
Lehrerinnen,short,2010s,57
Lehrerinnen,short,2010s,31
Lehrerinnen,short,2010s,15
Lehrerinnen,short,2010s,31
Lehrerinnen,short,2010s,13
Lehrerinnen,short,2010s,39
Lehrerinnen,short,2010s,41
Lehrerinnen,short,2010s,42
Lehrerinnen,short,2010s,31
Lehrerinnen,short,2010s,20
Lehrerinnen,short,2010s,28
Lehrerinnen,short,2010s,19
Lehrerinnen,short,2010s,35
Lehrerinnen,short,2010s,45
Lehrerinnen,short,2010s,17
Lehrerinnen,short,2010s,67
Lehrerinnen,short,2010s,16
Lehrerinnen,short,2010s,12
Lehrerinnen,short,2010s,28
Lehrerinnen,short,2010s,20
Lehrerinnen,short,2010s,48
Lehrerinnen,short,2010s,21
Lehrerinnen,short,2010s,23
Lehrerinnen,short,2010s,14
Lehrerinnen,short,2010s,8
Lehrerinnen,short,2010s,31
Lehrerinnen,short,2010s,31
Lehrerinnen,short,2010s,12
Lehrerinnen,short,2010s,30
Lehrerinnen,short,2010s,49
Lehrerinnen,short,2010s,29
Lehrerinnen,short,2010s,12
Lehrerinnen,short,2010s,9
Lehrerinnen,short,2010s,13
Lehrerinnen,short,2010s,16
Lehrerinnen,short,2010s,12
Lehrerinnen,short,2010s,21
Lehrerinnen,short,2010s,42
Lehrerinnen,short,2010s,101
Lehrerinnen,short,2010s,68
Lehrerinnen,short,2010s,36
Lehrerinnen,short,2010s,10
Lehrerinnen,short,2010s,16
Lehrerinnen,short,2010s,31
Lehrerinnen,short,2010s,21
Lehrerinnen,short,2010s,24
Lehrerinnen,short,2010s,17
Lehrerinnen,short,2010s,21
Lehrerinnen,short,2010s,19
Lehrerinnen,short,2010s,38
Lehrerinnen,short,2010s,22
Lehrerinnen,short,2010s,10
Lehrerinnen,short,2010s,26
Lehrerinnen,short,2010s,23
Lehrerinnen,short,2010s,12
Lehrerinnen,short,2010s,22
Lehrerinnen,short,2010s,22
Lehrerinnen,short,2010s,19
Lehrerinnen,short,2010s,43
Lehrerinnen,short,2010s,29
Lehrerinnen,short,2010s,21
Lehrerinnen,short,2010s,6
Lehrerinnen,short,2010s,18
Lehrerinnen,short,2010s,16
Lehrerinnen,short,2010s,16
Lehrerinnen,short,2010s,20
Lehrerinnen,short,2010s,23
Lehrerinnen,short,2010s,12
Lehrerinnen,short,2010s,14
Lehrerinnen,short,2010s,25
Lehrerinnen,short,2010s,6
Lehrerinnen,short,2010s,3
Lehrerinnen,short,2010s,23
Lehrerinnen,short,2010s,16
Lehrerinnen,short,2010s,8
Lehrerinnen,short,2010s,25
Lehrerinnen,short,2010s,35
Lehrerinnen,short,2010s,24
Lehrerinnen,short,2010s,24
Lehrerinnen,short,2010s,11
Lehrerinnen,short,2010s,32
Lehrerinnen,short,2010s,22
Lehrerinnen,short,2010s,18
Lehrerinnen,short,2010s,23
