,Word,Form,TimePeriod,SentenceLength
601,Lehrerinnen,short,2010s,68
602,Lehrerinnen,short,2010s,36
603,Lehrerinnen,short,2010s,10
604,Lehrerinnen,short,2010s,16
605,Lehrerinnen,short,2010s,31
606,Lehrerinnen,short,2010s,21
607,Lehrerinnen,short,2010s,24
608,Lehrerinnen,short,2010s,17
609,Lehrerinnen,short,2010s,21
610,Lehrerinnen,short,2010s,19
611,Lehrerinnen,short,2010s,38
612,Lehrerinnen,short,2010s,22
613,Lehrerinnen,short,2010s,10
614,Lehrerinnen,short,2010s,26
615,Lehrerinnen,short,2010s,23
616,Lehrerinnen,short,2010s,12
617,Lehrerinnen,short,2010s,22
618,Lehrerinnen,short,2010s,22
619,Lehrerinnen,short,2010s,19
620,Lehrerinnen,short,2010s,43
621,Lehrerinnen,short,2010s,29
622,Lehrerinnen,short,2010s,21
623,Lehrerinnen,short,2010s,6
624,Lehrerinnen,short,2010s,18
625,Lehrerinnen,short,2010s,16
626,Lehrerinnen,short,2010s,16
627,Lehrerinnen,short,2010s,20
628,Lehrerinnen,short,2010s,23
629,Lehrerinnen,short,2010s,12
630,Lehrerinnen,short,2010s,14
631,Lehrerinnen,short,2010s,25
632,Lehrerinnen,short,2010s,6
633,Lehrerinnen,short,2010s,3
634,Lehrerinnen,short,2010s,23
635,Lehrerinnen,short,2010s,16
636,Lehrerinnen,short,2010s,8
637,Lehrerinnen,short,2010s,25
638,Lehrerinnen,short,2010s,35
639,Lehrerinnen,short,2010s,24
640,Lehrerinnen,short,2010s,24
641,Lehrerinnen,short,2010s,11
642,Lehrerinnen,short,2010s,32
643,Lehrerinnen,short,2010s,22
644,Lehrerinnen,short,2010s,18
645,Lehrerinnen,short,2010s,23
646,Lehrerinnen,short,2010s,17
647,Lehrerinnen,short,2010s,21
648,Lehrerinnen,short,2010s,9
649,Lehrerinnen,short,2010s,17
650,Lehrerinnen,short,2010s,23
651,Lehrerinnen,short,2010s,5
652,Lehrerinnen,short,2010s,43
653,Lehrerinnen,short,2010s,39
654,Lehrerinnen,short,2010s,7
655,Lehrerinnen,short,2010s,21
656,Lehrerinnen,short,2010s,33
657,Lehrerinnen,short,2010s,33
658,Lehrerinnen,short,2010s,45
659,Lehrerinnen,short,2010s,14
660,Lehrerinnen,short,2010s,25
661,Lehrerinnen,short,2010s,23
662,Lehrerinnen,short,2010s,43
663,Lehrerinnen,short,2010s,11
664,Lehrerinnen,short,2010s,15
665,Lehrerinnen,short,2010s,21
666,Lehrerinnen,short,2010s,22
667,Lehrerinnen,short,2010s,30
668,Lehrerinnen,short,2010s,10
669,Lehrerinnen,short,2010s,24
670,Lehrerinnen,short,2010s,15
671,Lehrerinnen,short,2010s,26
672,Lehrerinnen,short,2010s,14
673,Lehrerinnen,short,2010s,30
674,Lehrerinnen,short,2010s,37
675,Lehrerinnen,short,2010s,11
676,Lehrerinnen,short,2010s,17
677,Lehrerinnen,short,2010s,17
678,Lehrerinnen,short,2010s,21
679,Lehrerinnen,short,2010s,20
680,Lehrerinnen,short,2010s,24
681,Lehrerinnen,short,2010s,17
682,Lehrerinnen,short,2010s,37
683,Lehrerinnen,short,2010s,3
684,Lehrerinnen,short,2010s,22
685,Lehrerinnen,short,2010s,22
686,Lehrerinnen,short,2010s,17
687,Lehrerinnen,short,2010s,37
688,Lehrerinnen,short,2010s,12
689,Lehrerinnen,short,2010s,90
690,Lehrerinnen,short,2010s,90
691,Lehrerinnen,short,2010s,2
692,Lehrerinnen,short,2010s,13
693,Lehrerinnen,short,2010s,28
694,Lehrerinnen,short,2010s,27
695,Lehrerinnen,short,2010s,23
696,Lehrerinnen,short,2000s,27
697,Lehrerinnen,short,2000s,14
698,Lehrerinnen,short,2000s,25
699,Lehrerinnen,short,2000s,30
700,Lehrerinnen,short,2000s,35
701,Lehrerinnen,short,2000s,38
702,Lehrerinnen,short,2000s,13
703,Lehrerinnen,short,2000s,22
704,Lehrerinnen,short,2000s,24
705,Lehrerinnen,short,2000s,6
706,Lehrerinnen,short,2000s,28
707,Lehrerinnen,short,2000s,16
708,Lehrerinnen,short,2000s,10
709,Lehrerinnen,short,2000s,23
710,Lehrerinnen,short,2000s,32
711,Lehrerinnen,short,2000s,54
712,Lehrerinnen,short,2000s,39
713,Lehrerinnen,short,2000s,16
714,Lehrerinnen,short,2000s,8
715,Lehrerinnen,short,2000s,33
716,Lehrerinnen,short,2000s,34
717,Lehrerinnen,short,2000s,14
718,Lehrerinnen,short,2000s,12
719,Lehrerinnen,short,2000s,11
720,Lehrerinnen,short,2000s,12
721,Lehrerinnen,short,2000s,23
722,Lehrerinnen,short,2000s,41
723,Lehrerinnen,short,2000s,39
724,Lehrerinnen,short,2000s,14
725,Lehrerinnen,short,2000s,9
726,Lehrerinnen,short,2000s,6
