Word,Form,TimePeriod,SentenceLength
Autorinnen,short,2010s,18
Autorinnen,short,2010s,40
Autorinnen,short,2010s,18
Autorinnen,short,2010s,11
Autorinnen,short,2010s,29
Autorinnen,short,2010s,35
Autorinnen,short,2010s,28
Autorinnen,short,2010s,14
Autorinnen,short,2010s,24
Autorinnen,short,2010s,48
Autorinnen,short,2010s,43
Autorinnen,short,2010s,41
Autorinnen,short,2010s,8
Autorinnen,short,2010s,17
Autorinnen,short,2010s,13
Autorinnen,short,2010s,12
Autorinnen,short,2010s,11
Autorinnen,short,2010s,22
Autorinnen,short,2010s,26
Autorinnen,short,2010s,8
Autorinnen,short,2010s,12
Autorinnen,short,2010s,25
Autorinnen,short,2010s,20
Autorinnen,short,2010s,14
Autorinnen,short,2010s,8
Autorinnen,short,2010s,14
Autorinnen,short,2010s,7
Autorinnen,short,2010s,36
Autorinnen,short,2010s,43
Autorinnen,short,2010s,16
Autorinnen,short,2010s,12
Autorinnen,short,2010s,20
Autorinnen,short,2010s,9
Autorinnen,short,2010s,18
Autorinnen,short,2010s,10
Autorinnen,short,2010s,11
Autorinnen,short,2010s,16
Autorinnen,short,2010s,35
Autorinnen,short,2010s,42
Autorinnen,short,2010s,17
Autorinnen,short,2010s,22
Autorinnen,short,2010s,25
Autorinnen,short,2010s,12
Autorinnen,short,2010s,31
Autorinnen,short,2010s,17
Autorinnen,short,2010s,46
Autorinnen,short,2010s,45
Autorinnen,short,2010s,55
Autorinnen,short,2010s,55
Autorinnen,short,2010s,18
Autorinnen,short,2010s,40
Autorinnen,short,2010s,17
Autorinnen,short,2010s,30
Autorinnen,short,2010s,12
Autorinnen,short,2010s,5
Autorinnen,short,2010s,31
Autorinnen,short,2010s,10
Autorinnen,short,2010s,14
Autorinnen,short,2010s,28
Autorinnen,short,2010s,12
Autorinnen,short,2010s,16
Autorinnen,short,2010s,34
Autorinnen,short,2010s,11
Autorinnen,short,2010s,14
Autorinnen,short,2010s,12
Autorinnen,short,2010s,13
Autorinnen,short,2010s,48
Autorinnen,short,2010s,21
Autorinnen,short,2010s,21
Autorinnen,short,2010s,86
Autorinnen,short,2010s,14
Autorinnen,short,2010s,53
Autorinnen,short,2010s,20
Autorinnen,short,2010s,9
Autorinnen,short,2010s,15
Autorinnen,short,2010s,33
Autorinnen,short,2010s,13
Autorinnen,short,2010s,7
Autorinnen,short,2010s,46
Autorinnen,short,2010s,15
Autorinnen,short,2010s,14
Autorinnen,short,2010s,12
Autorinnen,short,2010s,5
Autorinnen,short,2010s,22
Autorinnen,short,2010s,18
Autorinnen,short,2010s,34
Autorinnen,short,2010s,24
Autorinnen,short,2010s,23
Autorinnen,short,2010s,18
Autorinnen,short,2010s,30
Autorinnen,short,2010s,22
Autorinnen,short,2010s,35
Autorinnen,short,2010s,16
Autorinnen,short,2010s,19
